County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PopulationAttributableProportion
Clay,Poverty,% POV BLACK,5.16409777054259,0.2533809654908955,0.001810475776469989,0.0
Cochran,Poverty,% POV BLACK,34.22923556279074,1.679487325818764,0.0029912899320241665,0.0
Coke,Poverty,% POV BLACK,29.61923556279074,1.4532936511799706,0.003338424690404594,0.0
Coleman,Poverty,% POV BLACK,12.89076443720926,0.6324966110532405,0.0033985870054772565,1.0
Collin,Poverty,% POV BLACK,12.156946255391077,0.596491181321741,0.4440053949030738,1.0
Collingsworth,Poverty,% POV BLACK,35.01923556279074,1.7182493655074074,0.0031864898938049934,0.0
Colorado,Poverty,% POV BLACK,0.010764437209257238,0.0005281665092799245,7.592476017034036e-06,0.0
Comal,Poverty,% POV BLACK,11.47137049781532,0.5628528082524709,0.0635657077027903,1.0
Comanche,Poverty,% POV BLACK,12.74523556279074,0.625356109779754,0.005944666512973553,0.0
Concho,Poverty,% POV BLACK,20.38076443720926,1.0,0.002309731020780827,0.0
Cooke,Poverty,% POV BLACK,14.12368000723518,0.6929906898609509,0.020192165119981016,1.0
Coryell,Poverty,% POV BLACK,10.342343384577678,0.5074561072741517,0.029485992870695626,1.0
Cottle,Poverty,% POV BLACK,5.01923556279074,0.246273174799425,0.00023765613447174295,0.0
Crane,Poverty,% POV BLACK,34.71923556279074,1.7035296036003278,0.0055690886832994585,0.0
Crockett,Poverty,% POV BLACK,20.38076443720926,1.0,0.0021663780509775963,0.0
Crosby,Poverty,% POV BLACK,10.40409777054259,0.5104861401345564,0.0018323483991277859,0.0
Culberson,Poverty,% POV BLACK,20.38076443720926,1.0,0.0015300307216071596,0.0
Dallam,Poverty,% POV BLACK,20.38076443720926,1.0,0.004975396976341381,1.0
Dallas,Poverty,% POV BLACK,4.396602946526029,0.21572316190942917,0.3942562582521431,1.0
Dawson,Poverty,% POV BLACK,2.0717355627907423,0.10165151406236583,0.0008854117574643917,1.0
DeWitt,Poverty,% POV BLACK,8.042431103875927,0.3946089033438227,0.005470298210041721,1.0
Deaf Smith,Poverty,% POV BLACK,5.285764437209258,0.25935064670876684,0.0033702024940147905,1.0
Delta,Poverty,% POV BLACK,9.239235562790743,0.45333115895901466,0.001657944899180641,0.0
Denton,Poverty,% POV BLACK,9.62340692425589,0.4721808621999669,0.29928961817085303,1.0
Dickens,Poverty,% POV BLACK,46.85923556279074,2.299189302106824,0.0028457767699336016,0.0
Dimmit,Poverty,% POV BLACK,12.952568896124077,0.6355291007866471,0.0038286314005343213,1.0
Donley,Poverty,% POV BLACK,13.19576443720926,0.6474617023254383,0.001475088231780825,0.0
Duval,Poverty,% POV BLACK,20.38076443720926,1.0,0.0068746490055393,0.0
Eastland,Poverty,% POV BLACK,12.805050151494974,0.6282909647940749,0.007787532850484279,0.0
Ector,Poverty,% POV BLACK,5.467431103875926,0.26826428030805416,0.030984855944171007,1.0
Edwards,Poverty,% POV BLACK,20.38076443720926,1.0,0.0009943801124887484,0.0
El Paso,Poverty,% POV BLACK,6.205977203166704,0.3045016894379301,0.18432675825492187,1.0
Ellis,Poverty,% POV BLACK,9.504375548320368,0.4663404838224902,0.06276032024961868,1.0
Erath,Poverty,% POV BLACK,4.541597770542593,0.22283745953370504,0.006629634106555122,1.0
Falls,Poverty,% POV BLACK,8.307568896124074,0.4076181205920278,0.004836564359375091,1.0
Fannin,Poverty,% POV BLACK,1.7003466739018513,0.08342899399776783,0.0020805374422954766,1.0
Fayette,Poverty,% POV BLACK,15.271457785012963,0.7493074085647048,0.012803396745979505,1.0
Fisher,Poverty,% POV BLACK,27.024235562790743,1.3259677106837302,0.0034047752904614137,0.0
Floyd,Poverty,% POV BLACK,2.5492355627907415,0.12508046843113452,0.00047249466843284136,0.0
Foard,Poverty,% POV BLACK,20.38076443720926,1.0,0.0007657146435831078,0.0
Fort Bend,Poverty,% POV BLACK,10.898057670291964,0.5347227138544092,0.30765548651873004,1.0
Franklin,Poverty,% POV BLACK,17.213264437209258,0.8445838471977488,0.006118055857664946,0.0
Freestone,Poverty,% POV BLACK,1.6454855627907428,0.0807371856860566,0.0010972636325121388,0.0
Frio,Poverty,% POV BLACK,3.7140977705425904,0.1822354496066764,0.002342876144146541,1.0
Gaines,Poverty,% POV BLACK,0.5467355627907402,0.026826057701376624,0.00040515688617264454,1.0
Galveston,Poverty,% POV BLACK,7.790078162699455,0.38222698597492605,0.09373195040602755,1.0
Garza,Poverty,% POV BLACK,14.979235562790741,0.7349692701144752,0.0029891410752902,0.0
Gillespie,Poverty,% POV BLACK,6.095050151494972,0.29905895680572264,0.005588913156958156,1.0
Glasscock,Poverty,% POV BLACK,20.38076443720926,1.0,0.0007803995819531948,0.0
Goliad,Poverty,% POV BLACK,10.494235562790742,0.5149088296036318,0.0025247889455118117,0.0
Gonzales,Poverty,% POV BLACK,2.71076443720926,0.13300602367299846,0.0018279023773512789,1.0
Gray,Poverty,% POV BLACK,11.087806991362172,0.5440329299483542,0.008075448306675287,1.0
Grayson,Poverty,% POV BLACK,11.970902229457408,0.5873627687684803,0.05567193822687154,1.0
Gregg,Poverty,% POV BLACK,2.815902229457407,0.13816470123742763,0.012003499613849769,1.0
Grimes,Poverty,% POV BLACK,3.5717355627907423,0.17525032359776496,0.003586779743510757,1.0
Guadalupe,Poverty,% POV BLACK,8.541740046965359,0.41910793254499634,0.05061580404042647,1.0
Hale,Poverty,% POV BLACK,6.705902229457404,0.3290309472992292,0.007482846334647225,1.0
Hall,Poverty,% POV BLACK,18.539235562790743,0.9096437780784892,0.0017969774983799703,0.0
Hamilton,Poverty,% POV BLACK,12.952568896124077,0.6355291007866471,0.0036539764799992094,0.0
Hansford,Poverty,% POV BLACK,20.38076443720926,1.0,0.003695709489805228,0.0
Hardeman,Poverty,% POV BLACK,26.759235562790742,1.3129652543324764,0.003258457539287525,0.0
Hardin,Poverty,% POV BLACK,7.54462017817535,0.3701833756736377,0.014556117473693068,1.0
Harris,Poverty,% POV BLACK,2.4645324228207706,0.12092443492066775,0.4000673952098653,1.0
Harrison,Poverty,% POV BLACK,0.7607644372092572,0.037327571276979485,0.0017968719109208934,1.0
Hartley,Poverty,% POV BLACK,20.38076443720926,1.0,0.0037635399194194397,1.0
Haskell,Poverty,% POV BLACK,41.21423556279074,2.0222124488886055,0.007658756620569076,0.0
Hays,Poverty,% POV BLACK,2.020547045904909,0.09913990479257916,0.016712410490191835,1.0
Hemphill,Poverty,% POV BLACK,20.38076443720926,1.0,0.002364974360363535,0.0
Henderson,Poverty,% POV BLACK,3.8306641342193117,0.18795488000566113,0.010797271136765952,1.0
Hidalgo,Poverty,% POV BLACK,12.796896512680956,0.6278908993873459,0.38233668146870076,1.0
Hill,Poverty,% POV BLACK,4.33590222945741,0.2127448282332989,0.005336931745271445,1.0
Hockley,Poverty,% POV BLACK,14.463521277076453,0.7096652984551617,0.01068788103115279,1.0
Hood,Poverty,% POV BLACK,12.139335865780687,0.5956271121812214,0.02565629278264165,1.0
Hopkins,Poverty,% POV BLACK,9.721235562790742,0.4769809097563895,0.012270102858936247,1.0
Houston,Poverty,% POV BLACK,4.566735562790743,0.22407086725624642,0.0034574972423812786,1.0
Howard,Poverty,% POV BLACK,8.27823556279074,0.4061788549833355,0.009901421011420226,1.0
Hudspeth,Poverty,% POV BLACK,20.38076443720926,1.0,0.0022391034600485033,0.0
Hunt,Poverty,% POV BLACK,10.584949848505026,0.5193598052279155,0.03630195692528758,1.0
Hutchinson,Poverty,% POV BLACK,2.689514437209258,0.1319633738712469,0.0019025308816102828,1.0
Irion,Poverty,% POV BLACK,79.61923556279075,3.9065873023599416,0.004133227360848715,0.0
Jack,Poverty,% POV BLACK,12.952568896124077,0.6355291007866471,0.0037650801190164565,0.0
Jackson,Poverty,% POV BLACK,0.7707644372092588,0.037818230007215556,0.0003963672073001413,1.0
Jasper,Poverty,% POV BLACK,9.940235562790743,0.48772633594855785,0.011248113546528996,1.0
Jeff Davis,Poverty,% POV BLACK,20.38076443720926,1.0,0.0013957684279377928,0.0
Jefferson,Poverty,% POV BLACK,1.4376065424724196,0.07053742007084751,0.012653299678241796,1.0
Jim Hogg,Poverty,% POV BLACK,20.38076443720926,1.0,0.0033831300873562336,0.0
Jim Wells,Poverty,% POV BLACK,9.017128073572895,0.4424332610954612,0.01203232939270095,1.0
Johnson,Poverty,% POV BLACK,10.727174693619514,0.526338191419104,0.06622379370006486,1.0
Jones,Poverty,% POV BLACK,1.8640977705425925,0.0914635845130176,0.0012576240395405559,0.0
Karnes,Poverty,% POV BLACK,20.38076443720926,1.0,0.01028644968685618,0.0
Kaufman,Poverty,% POV BLACK,3.079282955727777,0.151087706509473,0.015352441986986667,1.0
Kendall,Poverty,% POV BLACK,19.875208881653702,0.9751944753047358,0.030195475284154265,1.0
Kenedy,Poverty,% POV BLACK,20.38076443720926,1.0,0.0002447489728347833,0.0
Kent,Poverty,% POV BLACK,79.61923556279075,3.9065873023599416,0.0020570523481289373,0.0
Kerr,Poverty,% POV BLACK,11.090664134219313,0.544173118156993,0.020015163784263483,1.0
Kimble,Poverty,% POV BLACK,20.38076443720926,1.0,0.002997125993056804,0.0
