zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
79259,STANDARD,0,Tell,,,TX,Childress County,America/Chicago,"806, 940",NA,US,34.38,-100.39,46
79261,STANDARD,0,Turkey,,,TX,Hall County,America/Chicago,806,NA,US,34.39,-100.89,360
79311,STANDARD,0,Abernathy,,,TX,Hale County,America/Chicago,806,NA,US,33.83,-101.84,2960
79312,STANDARD,0,Amherst,,,TX,Lamb County,America/Chicago,806,NA,US,34.01,-102.41,730
79313,STANDARD,0,Anton,,,TX,Hockley County,America/Chicago,806,NA,US,33.81,-102.16,1250
79314,PO BOX,0,Bledsoe,,Bledso,TX,Cochran County,America/Chicago,"575, 806",NA,US,33.63,-103.03,64
79316,STANDARD,0,Brownfield,,,TX,Terry County,America/Chicago,806,NA,US,33.17,-102.27,8550
79320,STANDARD,1,Bula,,,TX,Bailey County,America/Chicago,806,NA,US,33.86,-102.67,0
79322,STANDARD,0,Crosbyton,,,TX,Crosby County,America/Chicago,806,NA,US,33.64,-101.23,1510
79323,STANDARD,0,Denver City,,,TX,Yoakum County,America/Chicago,"432, 575, 806",NA,US,32.96,-102.83,6640
79324,STANDARD,0,Enochs,,,TX,Bailey County,America/Chicago,806,NA,US,33.87,-102.75,54
79325,STANDARD,0,Farwell,,,TX,Parmer County,America/Chicago,"575, 806",NA,US,34.39,-102.89,1910
79326,STANDARD,0,Fieldton,,,TX,Lamb County,America/Chicago,806,NA,US,34.08,-102.22,39
79329,STANDARD,0,Idalou,,,TX,Lubbock County,America/Chicago,806,NA,US,33.66,-101.68,3140
79330,STANDARD,0,Justiceburg,,,TX,Garza County,America/Chicago,"325, 806",NA,US,33.04,-101.2,48
79331,STANDARD,0,Lamesa,La Mesa,,TX,Dawson County,America/Chicago,"432, 806",NA,US,32.73,-101.95,9180
79336,STANDARD,0,Levelland,,Pettit,TX,Hockley County,America/Chicago,806,NA,US,33.57,-102.36,13970
79338,PO BOX,0,Levelland,,,TX,Hockley County,America/Chicago,806,NA,US,33.57,-102.36,197
79339,STANDARD,0,Littlefield,,,TX,Lamb County,America/Chicago,806,NA,US,33.91,-102.33,5760
79342,STANDARD,0,Loop,,,TX,Gaines County,America/Chicago,806,NA,US,32.92,-102.42,370
79343,STANDARD,0,Lorenzo,,,TX,Crosby County,America/Chicago,806,NA,US,33.67,-101.53,1170
79344,STANDARD,0,Maple,,,TX,Bailey County,America/Chicago,806,NA,US,33.86,-103.01,30
79345,STANDARD,0,Meadow,,,TX,Terry County,America/Chicago,806,NA,US,33.33,-102.2,810
79346,STANDARD,0,Morton,,,TX,Cochran County,America/Chicago,"575, 806",NA,US,33.72,-102.75,1820
79347,STANDARD,0,Muleshoe,,,TX,Bailey County,America/Chicago,"575, 806",NA,US,34.22,-102.72,5770
79350,PO BOX,0,New Deal,,,TX,Lubbock County,America/Chicago,806,NA,US,33.73,-101.83,720
79351,STANDARD,0,Odonnell,,,TX,Lynn County,America/Chicago,"325, 806",NA,US,33,-101.82,1060
79353,STANDARD,0,Pep,,,TX,Hockley County,America/Chicago,806,NA,US,33.78,-102.58,29
79355,STANDARD,0,Plains,,,TX,Yoakum County,America/Chicago,"575, 806",NA,US,33.19,-102.82,1790
79356,STANDARD,0,Post,,,TX,Garza County,America/Chicago,806,NA,US,33.19,-101.38,3760
79357,STANDARD,0,Ralls,Cone,,TX,Crosby County,America/Chicago,806,NA,US,33.67,-101.38,1800
79358,STANDARD,0,Ropesville,,,TX,Hockley County,America/Chicago,806,NA,US,33.41,-102.15,1310
79359,STANDARD,0,Seagraves,,,TX,Gaines County,America/Chicago,"432, 806",NA,US,32.94,-102.56,2700
79360,STANDARD,0,Seminole,,,TX,Gaines County,America/Chicago,"432, 575, 806",NA,US,32.71,-102.65,17010
79363,STANDARD,0,Shallowater,,,TX,Lubbock County,America/Chicago,806,NA,US,33.69,-101.99,6190
79364,STANDARD,0,Slaton,"Ransom Canyon, Southland",,TX,Lubbock County,America/Chicago,806,NA,US,33.43,-101.64,6780
79366,STANDARD,0,Ransom Canyon,,,TX,Lubbock County,America/Chicago,806,NA,US,33.53,-101.69,1110
79367,PO BOX,0,Smyer,,,TX,Hockley County,America/Chicago,806,NA,US,33.59,-102.17,720
79369,PO BOX,0,Spade,,,TX,Lamb County,America/Chicago,806,NA,US,33.92,-102.15,134
79370,STANDARD,0,Spur,,,TX,Dickens County,America/Chicago,806,NA,US,33.47,-100.85,1190
79371,STANDARD,0,Sudan,,Goodland,TX,Lamb County,America/Chicago,"575, 806",NA,US,34.06,-102.52,1280
79372,PO BOX,0,Sundown,,,TX,Hockley County,America/Chicago,806,NA,US,33.45,-102.49,1420
79373,STANDARD,0,Tahoka,,,TX,Lynn County,America/Chicago,806,NA,US,33.16,-101.79,2780
79376,STANDARD,0,Tokio,,,TX,Terry County,America/Chicago,806,NA,US,33.23,-102.67,119
79377,STANDARD,0,Welch,,,TX,Dawson County,America/Chicago,806,NA,US,32.93,-102.13,270
79378,PO BOX,0,Wellman,,,TX,Terry County,America/Chicago,806,NA,US,33.04,-102.42,252
79379,PO BOX,0,Whiteface,,,TX,Cochran County,America/Chicago,806,NA,US,33.59,-102.61,560
79380,PO BOX,0,Whitharral,,,TX,Hockley County,America/Chicago,806,NA,US,33.74,-102.33,184
79381,STANDARD,0,Wilson,New Home,,TX,Lynn County,America/Chicago,806,NA,US,33.31,-101.72,1440
79382,STANDARD,0,Wolfforth,,,TX,Lubbock County,America/Chicago,806,NA,US,33.5,-102.01,8610
79383,PO BOX,0,New Home,,,TX,Lynn County,America/Chicago,806,NA,US,33.32,-101.91,371
79401,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.59,-101.85,2980
79402,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.58,-101.84,0
79403,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.64,-101.78,13200
79404,STANDARD,0,Lubbock,"Buffalo Spgs, Buffalo Springs",,TX,Lubbock County,America/Chicago,806,NA,US,33.53,-101.79,7780
79405,STANDARD,1,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.84,16
79406,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.59,-101.88,122
79407,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-102.08,19090
79408,PO BOX,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,1458
79409,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,131
79410,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.89,5660
79411,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,5120
79412,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.55,-101.86,11760
79413,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.55,-101.89,17580
79414,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.55,-101.92,13600
79415,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.7,-101.9,12240
79416,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.6,-101.98,27870
79423,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.44,-101.86,40350
79424,STANDARD,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.47,-101.95,49470
79430,UNIQUE,0,Lubbock,,Texas Tech School Of Medicin,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,0
79452,PO BOX,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,671
79453,PO BOX,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,455
79457,UNIQUE,0,Lubbock,,City Of Lubbock,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,0
79464,PO BOX,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,942
79490,PO BOX,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,481
79491,UNIQUE,0,Lubbock,,United Marketing Of Texas,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,0
79493,PO BOX,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,1078
79499,PO BOX,0,Lubbock,,,TX,Lubbock County,America/Chicago,806,NA,US,33.57,-101.87,311
79501,STANDARD,0,Anson,,Radium,TX,Jones County,America/Chicago,325,NA,US,32.75,-99.89,3080
79502,STANDARD,0,Aspermont,,Peacock,TX,Stonewall County,America/Chicago,"325, 806, 940",NA,US,33.13,-100.22,970
79503,STANDARD,0,Avoca,,,TX,Jones County,America/Chicago,"325, 940",NA,US,32.86,-99.71,177
79504,STANDARD,0,Baird,,,TX,Callahan County,America/Chicago,"254, 325",NA,US,32.39,-99.39,2590
79505,STANDARD,0,Benjamin,,,TX,Knox County,America/Chicago,"806, 940",NA,US,33.58,-99.79,220
79506,STANDARD,0,Blackwell,,,TX,Nolan County,America/Chicago,325,NA,US,32.08,-100.31,550
79508,STANDARD,0,Buffalo Gap,,,TX,Taylor County,America/Chicago,325,NA,US,32.28,-99.83,1310
79510,STANDARD,0,Clyde,,Eula,TX,Callahan County,America/Chicago,325,NA,US,32.4,-99.49,7360
79511,STANDARD,0,Coahoma,,,TX,Howard County,America/Chicago,"325, 432",NA,US,32.29,-101.3,1360
79512,STANDARD,0,Colorado City,,"Buford, Cuthbert",TX,Mitchell County,America/Chicago,"325, 432",NA,US,32.39,-100.85,4790
79516,PO BOX,0,Dunn,,,TX,Scurry County,America/Chicago,325,NA,US,32.57,-100.89,15
79517,STANDARD,0,Fluvanna,,,TX,Scurry County,America/Chicago,"325, 806",NA,US,32.89,-101.15,182
79518,STANDARD,0,Girard,,,TX,Kent County,America/Chicago,806,NA,US,33.36,-100.66,111
79519,STANDARD,0,Goldsboro,,,TX,Coleman County,America/Chicago,325,NA,US,32.06,-99.68,60
79520,STANDARD,0,Hamlin,,,TX,Jones County,America/Chicago,"325, 940",NA,US,32.88,-100.12,1860
79521,STANDARD,0,Haskell,,,TX,Haskell County,America/Chicago,"325, 940",NA,US,33.15,-99.73,2650
