County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PAP_Urban,PAP_Rural
Kleberg,Poverty,% NONVET POV 18 64,10.163601628098336,0.716533853718586,0.04033175249245371,0.8036000000000001,0.19640000000000002
Knox,Poverty,% NONVET POV 18 64,5.074398371901664,0.3577450547323674,0.02013650147580025,0.0,1.0
La Salle,Poverty,% NONVET POV 18 64,1.5556016280983371,0.10966990543496573,0.0061730223337235594,0.0,1.0
Lamar,Poverty,% NONVET POV 18 64,2.384063166559878,0.16807643891915405,0.009460568121269356,0.5249,0.47509999999999997
Lamb,Poverty,% NONVET POV 18 64,2.5596016280983367,0.1804518994029902,0.01015714931785054,0.43130000000000007,0.5687
Lampasas,Poverty,% NONVET POV 18 64,2.556065038568331,0.18020256986237243,0.010143115232414011,0.3387,0.6613
Lavaca,Poverty,% NONVET POV 18 64,7.149398371901663,0.5040325422658841,0.028370628459927227,0.1761,0.8239
Lee,Poverty,% NONVET POV 18 64,3.2318983719016625,0.22784881580200364,0.01282499353929231,0.0,1.0
Leon,Poverty,% NONVET POV 18 64,3.597268294765003,0.25360739316874725,0.014274874185575407,0.0,1.0
Liberty,Poverty,% NONVET POV 18 64,0.4002807248428386,0.02821978869655605,0.0015884155747731689,0.2263,0.7737
Limestone,Poverty,% NONVET POV 18 64,5.875601628098336,0.4142298794806487,0.023315879476580693,0.3007999999999999,0.6991999999999999
Lipscomb,Poverty,% NONVET POV 18 64,4.099398371901662,0.28900756059011246,0.016267453856752625,0.0,1.0
Live Oak,Poverty,% NONVET POV 18 64,2.3756016280983356,0.16747990050845177,0.009426990587691806,0.0,1.0
Llano,Poverty,% NONVET POV 18 64,7.4456483719016635,0.5249181654860309,0.02954622369802247,0.49789999999999995,0.5021
Lubbock,Poverty,% NONVET POV 18 64,4.889280873381354,0.3446942721988611,0.019401908227703782,0.8947999999999999,0.10519999999999999
Lynn,Poverty,% NONVET POV 18 64,2.9743983719016622,0.20969506734904914,0.01180316814246691,0.0,1.0
Madison,Poverty,% NONVET POV 18 64,2.5668983719016634,0.18096631979728628,0.010186104650403423,0.0,1.0
Marion,Poverty,% NONVET POV 18 64,5.193101628098338,0.36611363358107046,0.020607546143247373,0.0,1.0
Martin,Poverty,% NONVET POV 18 64,7.214398371901662,0.5086150418753678,0.028628564967863736,0.0,1.0
Mason,Poverty,% NONVET POV 18 64,6.459398371901663,0.4553875464113653,0.025632533221831996,0.0,1.0
Matagorda,Poverty,% NONVET POV 18 64,0.08483239732910697,0.005980683502033772,0.00033663649733772604,0.5326,0.46740000000000004
Maverick,Poverty,% NONVET POV 18 64,6.736370858867568,0.4749141050784265,0.026731630392331618,0.9342999999999999,0.0657
McCulloch,Poverty,% NONVET POV 18 64,0.2843983719016627,0.02005008351041781,0.0011285649678637408,0.6405,0.35950000000000004
McLennan,Poverty,% NONVET POV 18 64,4.6212912832707485,0.3258010077061298,0.01833845747329662,0.7598,0.2402
McMullen,Poverty,% NONVET POV 18 64,5.624398371901663,0.3965200514279983,0.02231904115833993,0.0,1.0
Medina,Poverty,% NONVET POV 18 64,6.765307462810754,0.4769541354825716,0.026846458185756955,0.15739999999999998,0.8425999999999999
Menard,Poverty,% NONVET POV 18 64,4.8256016280983385,0.34020488578898983,0.019149212809914037,0.0,1.0
Midland,Poverty,% NONVET POV 18 64,6.766830804334096,0.47706153105081506,0.026852503191801963,0.8628,0.1372
Milam,Poverty,% NONVET POV 18 64,0.5941730566697654,0.04188919692546017,0.002357829589959386,0.4288,0.5712
Mills,Poverty,% NONVET POV 18 64,1.8193983719016629,0.1282675742882242,0.007219834809133582,0.0,1.0
